source,url,published_date_new_york,original_title,clean_title,original_first_paragraph,clean_first_paragraph
BBC,https://www.bbc.co.uk/sport/football/articles/czekr6kn58po?at_medium=RSS&at_campaign=rss,2026-07-31 19:30:48,Fifa scraps controversial World Cup investment plan,fifa scrap controversial world cup investment plan,Gianni Infantino has been the president of Fifa since February 2016,gianni infantino president fifa since februari
BBC,https://www.bbc.co.uk/news/articles/cx2kp639yx4o?at_medium=RSS&at_campaign=rss,2026-07-31 04:16:06,"Spain's PM blames traffickers after 60,000 migrants reach Ceuta from Morocco",spain pm blame trafficker migrant reach ceuta morocco,"Spain's prime minister has blamed trafficking gangs after about 60,000 migrants crossed into the Spanish North African enclave of Ceuta from Morocco. At least 57 people died during the surge, according to local media.",spain prime minister blam traffick gang migrant cross spanish north african enclave ceuta morocco least people di surge accord local media
BBC,https://www.bbc.co.uk/news/articles/cy74n1n1lnxo?at_medium=RSS&at_campaign=rss,2026-07-31 18:10:35,Labour's Bev Craig elected Greater Manchester mayor,labour bev craig elect greater manchester mayor,Bev Craig said she felt humbled to be elected as Greater Manchester's mayor,bev craig said felt humble elect greater manchester mayor
BBC,https://www.bbc.co.uk/news/articles/ce973re9404o?at_medium=RSS&at_campaign=rss,2026-07-31 18:46:44,Police release Nancy Guthrie ransom notes in latest bid to find kidnappers,police release nanci guthrie ransom note latest bid find kidnapper,"Nancy Guthrie (left) is the mother of Savannah Guthrie (right), one of the most recognisable TV presenters in the US",nanci guthrie left mother savannah guthrie right one recognisable tv presenter us
BBC,https://www.bbc.co.uk/news/articles/cly8r2p27lzo?at_medium=RSS&at_campaign=rss,2026-07-31 12:39:23,How Sam Fender and Olivia Dean's Rein Me In broke the UK's singles chart record,sam fender olivia dean rein broke uk single chart record,"It's a song that has become inescapable, whether you're scrolling on TikTok, listening to the radio or even filling up your trolley on the weekly shop.",song become inescapable whether youre scroll tiktok listen radio even fill trollei weekli shop
BBC,https://www.bbc.co.uk/news/articles/czrxepy3vn3o?at_medium=RSS&at_campaign=rss,2026-07-31 19:43:10,Scientist's lifelong obsession with mystery of elusive 'pink zebra' seaweed,scientist lifelong obsession mysteri elusive pink zebra seawee,Scientist's lifelong obsession with mystery of elusive 'pink zebra' seaweed,scientist lifelong obsession mysteri elusive pink zebra seawee
BBC,https://www.bbc.co.uk/news/articles/cr49w13w9d0o?at_medium=RSS&at_campaign=rss,2026-07-31 20:55:15,Victims of disgraced funeral boss demand industry regulation,victim disgrac funeral boss demand industri regulation,Relatives of the victims of Robert Bush call for funeral industry regulation outside his sentencing hearing at Hull Crown Court,relative victim robert bush call funeral industri regulation outside sentenc hear hull crown court
BBC,https://www.bbc.co.uk/news/articles/c80nkgdnl4no?at_medium=RSS&at_campaign=rss,2026-07-31 19:41:10,Death row inmates desperate to escape execution in Saudi Arabia call the BBC,death row inmate desperate escape execution saudi arabia call bbc,Some Ethiopian inmates got hold of the number for the BBC Tigrinya service and called from a prison phone to tell their stories,ethiopian inmate got hold number bbc tigrinya service call prison phone tell stori
BBC,https://www.bbc.co.uk/news/articles/cz05yx5dd7yo?at_medium=RSS&at_campaign=rss,2026-07-31 18:45:20,Trump administration drops Reflecting Pool vandalism charge and admits 'botched' repairs,trump administration drop reflect pool vandalism charge admit botch repair,"US prosecutors have dropped charges against a former Olympian who had been accused of vandalising the Reflecting Pool in Washington DC, writing in court documents that the damage is now believed to be ""the result of flawed installation by the contractor"".",us prosecutor drop charge former olympian accus vandalis reflect pool washington dc writ court document damage now believ result flaw installation contractor
BBC,https://www.bbc.co.uk/news/articles/c77g6dm5pr8o?at_medium=RSS&at_campaign=rss,2026-07-31 17:57:59,Snapchat joins other popular platforms in fight against 'AI slop',snapchat join popular platform fight ai slop,"Snapchat has joined the likes of YouTube, LinkedIn and Substack in a growing effort  to combat fake writing, images and videos that are entirely created by artificial intelligence (AI) tools.",snapchat join like youtube linkedin substack grow effort combat fake writ image video entireli create artificial intelligence ai tool
BBC,https://www.bbc.co.uk/sport/football/articles/c998m4ve0rpo?at_medium=RSS&at_campaign=rss,2026-07-31 15:22:15,Infantino on the brink? Who might replace him if he goes?,infantino brink might replace goe,Fifa president Gianni Infantino arrives for the World Cup final on 19 July,fifa president gianni infantino arrive world cup final juli
BBC,https://www.bbc.co.uk/news/articles/c4gd82vvvdno?at_medium=RSS&at_campaign=rss,2026-07-31 19:42:03,"He bought a fitness supplement online to bulk up, but ended up losing his mind",bought fitness supplement online bulk end los mind,Daniel Murphy went from being a loving husband to a man who believed his family wanted to kill him,daniel murphi went lov husband man believ famili want kill
BBC,https://www.bbc.co.uk/news/articles/cdrvkzdpynyo?at_medium=RSS&at_campaign=rss,2026-07-31 19:49:00,'Spanish border crisis' and 'iron chancellor',spanish border crisi iron chancellor,"The crossing of 60,000 migrants into the Spanish North African enclave of Ceuta from Morocco is featured prominently across Saturday's papers. The Daily Express says the crisis should be a ""wake-up call"" for the UK, quoting shadow Home Office minister Katie Lam's warning to Prime Minister Andy Burnham.",cross migrant spanish north african enclave ceuta morocco featur prominentli across saturdai paper daili express sai crisi wakeup call uk quot shadow home office minister katie lam warn prime minister andi burnham
BBC,https://www.bbc.co.uk/news/articles/cly5nvj2d2jo?at_medium=RSS&at_campaign=rss,2026-07-31 19:02:20,Who is Greater Manchester's new Mayor Bev Craig?,greater manchester new mayor bev craig,Bev Craig has been elected as the new mayor of Greater Manchester,bev craig elect new mayor greater manchester
BBC,https://www.bbc.co.uk/news/articles/cx2rv3899g8o?at_medium=RSS&at_campaign=rss,2026-07-31 21:04:30,I was working to survive and I wasn't paid,work survive wasnt paid,Watch: Three people who say they are owed wages tell the BBC about their experiences,watch three people sai ow wage tell bbc experience
BBC,https://www.bbc.co.uk/news/articles/c8rnpxyj762o?at_medium=RSS&at_campaign=rss,2026-07-31 19:56:55,British girl band FLO 'want it all' - and they're confident they will get it,british girl band flo want theyre confident will get,FLO won Best R&B/Soul Act at the 2026 MOBO Awards and received their first Grammy nomination this year,flo won best rbsoul act mobo award receiv first grammi nomination year
BBC,https://www.bbc.co.uk/news/articles/ce97xg0zgp7o?at_medium=RSS&at_campaign=rss,2026-07-31 21:08:45,CPS to target assets of jailed funeral director,cp target asset jail funeral director,"A disgraced funeral director's bank accounts and assets have been frozen, as prosecutors seek to recover cash fleeced from his victims.",disgrac funeral director bank account asset frozen prosecutor seek recover cash fleec victim
BBC,https://www.bbc.co.uk/news/articles/ce973yvk7pko?at_medium=RSS&at_campaign=rss,2026-07-31 22:55:08,"Russian strikes on Kyiv kill at least four, Ukraine officials say",russian strike kyiv kill least four ukraine official sai,Firefighters work at the site of an apartment building hit by a Russian missile strike in Kyiv early on Saturday,firefighter work site apartment build hit russian missile strike kyiv earli saturdai
BBC,https://www.bbc.co.uk/news/articles/cpw9q0ekd9eo?at_medium=RSS&at_campaign=rss,2026-07-31 19:42:32,How police in US are using the power of podcasts to crack unsolved murders,police us us power podcast crack unsolv murder,"Peter Chadwick had been on the run for nearly four years, charged with murdering his wife, when California police launched a podcast about the crime.",peter chadwick run nearli four year charg murder wife california police launch podcast crime
BBC,https://www.bbc.co.uk/news/articles/c5y62pe9g3no?at_medium=RSS&at_campaign=rss,2026-07-31 17:09:39,Greyhounds bound for Australia as New Zealand racing ban takes effect,greyhound bound australia new zealand rac ban take effect,"New Zealand has outlawed greyhound racing, but neighbouring Australia has not",new zealand outlaw greyhound rac neighbour australia
BBC,https://www.bbc.co.uk/news/articles/cq89757z9vyo?at_medium=RSS&at_campaign=rss,2026-07-31 12:08:12,Parents sue school over 'inhumane' calming rooms after BBC report,parent sue school inhumane calm room bbc report,The BBC investigation began after being shown footage of children in calming rooms at Whitefield School in north London,bbc investigation began shown footage children calm room whitefield school north london
BBC,https://www.bbc.co.uk/news/articles/cwyle421806o?at_medium=RSS&at_campaign=rss,2026-07-31 05:20:09,Massive Attack banned from Singapore after pro-Palestine display at show,massive attack ban singapore propalestine displai show,Robert Del Naja is one of the band members of Massive Attack (file picture),robert del naja one band member massive attack file picture
BBC,https://www.bbc.co.uk/news/10628994?at_medium=RSS&at_campaign=rss,2025-04-30 10:04:28,The BBC News app keeps you informed with live and breaking news you can trust,bbc new app keep inform live break new can trust,"With the latest news and analysis from our journalists around the world and the unique human stories behind current events, we've got the best of our journalism in one place on the BBC News app.",latest new analysi journalist around world unique human stori behind current event weve got best journalism one place bbc new app
BBC,https://www.bbc.co.uk/sounds/play/p0p1380w?at_medium=RSS&at_campaign=rss,,Is The World Cup For Sale?,world cup sale,"Today, an almighty bust up is happening in the world of football between Fifa and Uefa.",todai almighti bust happen world football fifa uefa
